Open Time,Open,High,Low,Close,Close Time
2022-09-15 00:39:00,205.49000000,205.49000000,205.44000000,205.48000000,2022-09-15 00:39:59.999
2022-09-15 00:40:00,205.54000000,205.54000000,205.37000000,205.44000000,2022-09-15 00:40:59.999
2022-09-15 00:41:00,205.36000000,205.42000000,203.82000000,203.96000000,2022-09-15 00:41:59.999
2022-09-15 00:42:00,204.21000000,204.64000000,204.21000000,204.64000000,2022-09-15 00:42:59.999
2022-09-15 00:43:00,204.64000000,204.64000000,204.64000000,204.64000000,2022-09-15 00:43:59.999
2022-09-15 00:44:00,204.59000000,204.59000000,202.82000000,203.56000000,2022-09-15 00:44:59.999
2022-09-15 00:45:00,203.72000000,203.73000000,203.18000000,203.24000000,2022-09-15 00:45:59.999
2022-09-15 00:46:00,203.24000000,203.39000000,203.20000000,203.20000000,2022-09-15 00:46:59.999
2022-09-15 00:47:00,203.24000000,203.32000000,203.15000000,203.15000000,2022-09-15 00:47:59.999
2022-09-15 00:48:00,203.16000000,203.16000000,203.10000000,203.10000000,2022-09-15 00:48:59.999
2022-09-15 00:49:00,203.10000000,203.10000000,199.08000000,199.57000000,2022-09-15 00:49:59.999
2022-09-15 00:50:00,199.66000000,200.18000000,198.79000000,199.05000000,2022-09-15 00:50:59.999
2022-09-15 00:51:00,199.21000000,199.72000000,199.21000000,199.43000000,2022-09-15 00:51:59.999
2022-09-15 00:52:00,199.82000000,200.33000000,199.82000000,199.99000000,2022-09-15 00:52:59.999
2022-09-15 00:53:00,199.78000000,199.78000000,199.78000000,199.78000000,2022-09-15 00:53:59.999
2022-09-15 00:54:00,199.64000000,199.64000000,199.63000000,199.63000000,2022-09-15 00:54:59.999
2022-09-15 00:55:00,199.85000000,200.04000000,199.57000000,199.57000000,2022-09-15 00:55:59.999
2022-09-15 00:56:00,199.69000000,199.69000000,199.07000000,199.22000000,2022-09-15 00:56:59.999
2022-09-15 00:57:00,199.22000000,199.22000000,198.36000000,198.36000000,2022-09-15 00:57:59.999
2022-09-15 00:58:00,198.31000000,198.54000000,198.31000000,198.42000000,2022-09-15 00:58:59.999
2022-09-15 00:59:00,198.37000000,198.37000000,197.45000000,197.80000000,2022-09-15 00:59:59.999
2022-09-15 01:00:00,197.93000000,198.01000000,197.86000000,198.01000000,2022-09-15 01:00:59.999
2022-09-15 01:01:00,197.94000000,197.94000000,197.94000000,197.94000000,2022-09-15 01:01:59.999
2022-09-15 01:02:00,197.99000000,197.99000000,195.63000000,196.22000000,2022-09-15 01:02:59.999
2022-09-15 01:03:00,196.20000000,196.45000000,196.19000000,196.37000000,2022-09-15 01:03:59.999
2022-09-15 01:04:00,196.59000000,196.59000000,193.20000000,194.69000000,2022-09-15 01:04:59.999
2022-09-15 01:05:00,194.55000000,194.77000000,191.98000000,192.94000000,2022-09-15 01:05:59.999
2022-09-15 01:06:00,193.12000000,193.46000000,191.70000000,192.85000000,2022-09-15 01:06:59.999
2022-09-15 01:07:00,192.84000000,193.02000000,192.08000000,192.08000000,2022-09-15 01:07:59.999
2022-09-15 01:08:00,191.82000000,192.09000000,186.87000000,188.01000000,2022-09-15 01:08:59.999
2022-09-15 01:09:00,187.97000000,190.37000000,187.89000000,189.16000000,2022-09-15 01:09:59.999
2022-09-15 01:10:00,188.78000000,188.85000000,188.34000000,188.85000000,2022-09-15 01:10:59.999
2022-09-15 01:11:00,188.90000000,190.11000000,188.90000000,189.87000000,2022-09-15 01:11:59.999
2022-09-15 01:12:00,189.87000000,191.11000000,189.87000000,191.11000000,2022-09-15 01:12:59.999
2022-09-15 01:13:00,191.11000000,193.29000000,191.11000000,192.08000000,2022-09-15 01:13:59.999
2022-09-15 01:14:00,191.76000000,192.44000000,191.54000000,192.17000000,2022-09-15 01:14:59.999
2022-09-15 01:15:00,191.94000000,192.48000000,191.43000000,191.43000000,2022-09-15 01:15:59.999
2022-09-15 01:16:00,191.33000000,192.44000000,191.33000000,192.03000000,2022-09-15 01:16:59.999
2022-09-15 01:17:00,191.76000000,193.20000000,191.76000000,192.50000000,2022-09-15 01:17:59.999
2022-09-15 01:18:00,192.63000000,193.11000000,192.63000000,193.11000000,2022-09-15 01:18:59.999
2022-09-15 01:19:00,193.00000000,193.00000000,192.61000000,193.00000000,2022-09-15 01:19:59.999
2022-09-15 01:20:00,193.17000000,193.19000000,192.20000000,192.20000000,2022-09-15 01:20:59.999
2022-09-15 01:21:00,192.13000000,192.16000000,191.53000000,191.61000000,2022-09-15 01:21:59.999
2022-09-15 01:22:00,191.34000000,191.34000000,190.57000000,191.16000000,2022-09-15 01:22:59.999
2022-09-15 01:23:00,191.24000000,191.39000000,190.88000000,191.11000000,2022-09-15 01:23:59.999
2022-09-15 01:24:00,191.29000000,191.42000000,190.85000000,191.21000000,2022-09-15 01:24:59.999
2022-09-15 01:25:00,191.32000000,191.63000000,191.23000000,191.63000000,2022-09-15 01:25:59.999
